,id,name,league,rank,rank_percentage
349,widemde01,Dennis Wideman,nhl,172.91666666666666,19.670945495719085
350,finlemi01,Michael Finley,nba,88.26666666666667,19.777454380217545
351,kovalal01,Alex Kovalev,nhl,163.1578947368421,19.82678454252847
352,945,Bobby Abreu,mlb,247.77777777777777,19.832710974964886
353,giroucl01,Claude Giroux,nhl,172.4,19.847458235799646
354,4220,Ryan Zimmerman,mlb,262.0769230769231,19.859388727816718
355,1935,Kevin Youkilis,mlb,254.1,19.89533918814057
356,masonan01,Anthony Mason,nba,79.76923076923077,19.93913129865712
357,9810,Brian Dozier,mlb,258.1666666666667,19.98077018239591
358,pacioma01,Max Pacioretty,nhl,176.66666666666666,20.00000120891711
359,melvich01w,Chasity Melvin,wnba,34.083333333333336,20.07492035579026
360,7007,Yadier Molina,mlb,255.07142857142858,20.091955298076858
361,johnsgl01w,Glory Johnson,wnba,31.0,20.19266519398503
362,sheppra01,Ray Sheppard,nhl,146.0,20.202888405212807
363,1281,Mark Teixeira,mlb,265.7142857142857,20.22360260328202
364,1292,Chris Carpenter,mlb,252.66666666666666,20.316052356254847
365,1303,Roy Halladay,mlb,253.625,20.322968046148922
366,kunitch01,Chris Kunitz,nhl,180.76923076923077,20.32523826509527
367,778,Vladimir Guerrero,mlb,251.1875,20.37720929970265
368,1144,Andy Benes,mlb,237.64285714285714,20.39270643197808
369,3,Kevin Appier,mlb,233.125,20.395173641577024
370,holdsch01w,Chamique Holdsclaw,wnba,34.90909090909091,20.486759574578844
371,suttota01w,Tammy Sutton-Brown,wnba,34.083333333333336,20.493948595611954
372,renbemi01,Mikael Renberg,nhl,171.8,20.599825539618898
373,gueribi01,Bill Guerin,nhl,163.61111111111111,20.67904967932642
374,seminal01,Alexander Semin,nhl,184.0909090909091,20.686220904243168
375,589,Carlos Beltran,mlb,267.2,20.686415546089574
376,pastrda01,David Pastrnak,nhl,184.33333333333334,20.71039381729805
377,1131,Jason Schmidt,mlb,251.14285714285714,20.779522727449802
378,609,Chuck Knoblauch,mlb,247.75,20.786597329460204
379,niskama01,Matt Niskanen,nhl,183.1,20.812301803838718
380,1172,Matt Morris,mlb,261.72727272727275,20.8325270994329
381,1101,Ichiro Suzuki,mlb,277.52941176470586,20.93012004759205
382,55,Luis Gonzalez,mlb,248.0,21.017180785756533
383,11205,Adam Eaton,mlb,278.3333333333333,21.118483167294674
384,burnsbr01,Brent Burns,nhl,187.69230769230768,21.12833098727953
385,greenmi03,Mike Green,nhl,186.33333333333334,21.281439862666442
386,4727,Jacoby Ellsbury,mlb,274.8181818181818,21.32369132061781
387,4720,Chase Headley,mlb,277.27272727272725,21.40529902762283
388,baranel01w,Elena Baranova,wnba,30.571428571428573,21.41894151570715
389,greendr01,Draymond Green,nba,101.0,21.429071466840693
390,409,Jim Thome,mlb,247.86363636363637,21.457555339549234
391,pietral01,Alex Pietrangelo,nhl,189.22222222222223,21.478088526472575
392,willide01,Deron Williams,nba,101.41666666666667,21.514259899982903
393,1178,Edgar Renteria,mlb,266.625,21.58871719419929
394,sydorda01,Darryl Sydor,nhl,178.0,21.6352523718337
395,4881,Carlos Gomez,mlb,282.45454545454544,21.706687341490067
396,cammami01,Mike Cammalleri,nhl,192.5,21.75120960509342
397,1129,Reggie Sanders,mlb,252.23529411764707,21.790671820661338
398,745,David Ortiz,mlb,266.55,21.791972736068825
399,stojape01,Peja Stojakovic,nba,97.6923076923077,21.83609519239278
400,1070,Mike Cameron,mlb,264.0,21.849565987916815
401,nasluma02,Markus Naslund,nhl,172.46666666666667,21.860221711579072
402,poseyja01,James Posey,nba,98.58333333333333,22.029457014834097
403,1005333,Erik Hanson,mlb,244.63636363636363,22.054061071325506
404,millebr01,Brad Miller,nba,99.42857142857143,22.057230573559774
405,9256,A.J. Pollock,mlb,294.0,22.35117409517674
406,574,Shane Reynolds,mlb,259.15384615384613,22.420544175944404
407,outlabo01,Bo Outlaw,nba,99.4,22.42742171579107
408,hillgr01,Grant Hill,nba,101.83333333333333,22.471718013920356
409,cassesa01,Sam Cassell,nba,98.6,22.540282214895726
